ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma_short,ma_long,signal,trade_signal,equity
000001.SZ,20200102,16.65,16.95,16.55,16.87,16.45,0.42,2.5532,1530231.87,2571196.482,,,0,0,100000.0
000001.SZ,20200103,16.94,17.31,16.92,17.18,16.87,0.31,1.8376,1116194.81,1914495.474,,,0,0,100000.0
000001.SZ,20200106,17.01,17.34,16.91,17.07,17.18,-0.11,-0.6403,862083.5,1477930.193,,,0,0,100000.0
000001.SZ,20200107,17.13,17.28,16.95,17.15,17.07,0.08,0.4687,728607.56,1247047.135,,,0,0,100000.0
000001.SZ,20200108,17.0,17.05,16.63,16.66,17.15,-0.49,-2.8571,847824.12,1423608.811,16.986,,0,0,100000.0
000001.SZ,20200109,16.81,16.93,16.53,16.79,16.66,0.13,0.7803,1031636.65,1725326.806,16.97,,0,0,100000.0
000001.SZ,20200110,16.79,16.81,16.52,16.69,16.79,-0.1,-0.5956,585548.45,975154.818,16.872,,0,0,100000.0
000001.SZ,20200113,16.75,17.03,16.61,16.99,16.69,0.3,1.7975,872133.36,1468271.683,16.856,,0,0,100000.0
000001.SZ,20200114,16.99,17.27,16.76,16.76,16.99,-0.23,-1.3537,1304493.66,2217608.852,16.778,,0,0,100000.0
000001.SZ,20200115,16.79,16.86,16.45,16.52,16.76,-0.24,-1.432,859439.12,1424889.228,16.75,,0,0,100000.0
000001.SZ,20200116,16.52,16.57,16.2,16.33,16.52,-0.19,-1.1501,1028104.67,1678888.507,16.657999999999998,,0,0,100000.0
000001.SZ,20200117,16.38,16.55,16.35,16.39,16.33,0.06,0.3674,605436.69,995909.007,16.598000000000003,,0,0,100000.0
000001.SZ,20200120,16.43,16.61,16.35,16.45,16.39,0.06,0.3661,746074.75,1226464.649,16.49,,0,0,100000.0
000001.SZ,20200121,16.34,16.34,15.93,16.0,16.45,-0.45,-2.7356,896603.1,1442171.431,16.338,,0,0,100000.0
000001.SZ,20200122,15.92,16.16,15.71,16.09,16.0,0.09,0.5625,719464.91,1150933.398,16.252,,0,0,100000.0
000001.SZ,20200123,15.92,15.92,15.39,15.54,16.09,-0.55,-3.4183,1100592.07,1723394.336,16.094,,0,0,100000.0
000001.SZ,20200203,13.99,14.7,13.99,13.99,15.54,-1.55,-9.9743,2259194.83,3201454.164,15.613999999999999,,0,0,100000.0
000001.SZ,20200204,14.05,14.66,14.02,14.6,13.99,0.61,4.3603,1706172.07,2442932.842,15.244,,0,0,100000.0
000001.SZ,20200205,14.59,14.89,14.32,14.63,14.6,0.03,0.2055,1491380.21,2177632.043,14.970000000000002,,0,0,100000.0
000001.SZ,20200206,14.81,14.87,14.51,14.77,14.63,0.14,0.9569,1185815.72,1740107.625,14.706,16.173499999999997,-1,-1,100000.0
000001.SZ,20200207,14.6,14.69,14.41,14.62,14.77,-0.15,-1.0156,924852.96,1345053.255,14.522,16.061,-1,0,100000.0
000001.SZ,20200210,14.51,14.53,14.3,14.5,14.62,-0.12,-0.8208,1339495.24,1931983.482,14.624,15.926999999999998,-1,0,100000.0
000001.SZ,20200211,14.6,14.94,14.56,14.79,14.5,0.29,2.0,1407507.44,2077194.138,14.662,15.812999999999999,-1,0,100000.0
000001.SZ,20200212,14.79,14.82,14.6,14.77,14.79,-0.02,-0.1352,1070503.21,1573229.042,14.690000000000001,15.693999999999999,-1,0,100000.0
000001.SZ,20200213,14.71,14.88,14.61,14.65,14.77,-0.12,-0.8125,1013205.28,1491327.713,14.666,15.5935,-1,0,100000.0
000001.SZ,20200214,14.75,15.14,14.7,15.03,14.65,0.38,2.5939,1512434.73,2253906.452,14.748,15.505500000000001,-1,0,100000.0
000001.SZ,20200217,15.04,15.37,14.93,15.37,15.03,0.34,2.2621,1543696.01,2337993.586,14.922,15.439499999999999,-1,0,100000.0
000001.SZ,20200218,15.33,15.33,15.01,15.2,15.37,-0.17,-1.1061,973612.35,1478274.222,15.004,15.35,-1,0,100000.0
000001.SZ,20200219,15.1,15.37,15.08,15.24,15.2,0.04,0.2632,874106.93,1333730.218,15.098000000000003,15.273999999999997,-1,0,100000.0
000001.SZ,20200220,15.27,15.62,15.1,15.59,15.24,0.35,2.2966,1235444.34,1897923.029,15.285999999999998,15.227500000000001,1,1,99970.01107600001
000001.SZ,20200221,15.49,15.72,15.45,15.58,15.59,-0.01,-0.0641,995071.02,1546692.93,15.395999999999997,15.190000000000001,1,0,99905.89107600001
000001.SZ,20200224,15.46,15.46,15.15,15.23,15.58,-0.35,-2.2465,1191794.5,1820183.854,15.368,15.132000000000001,1,0,97661.69107600002
000001.SZ,20200225,15.0,15.13,14.78,15.04,15.23,-0.19,-1.2475,1144575.02,1710369.786,15.336000000000002,15.061499999999999,1,0,96443.411076
000001.SZ,20200226,14.77,15.27,14.7,14.99,15.04,-0.05,-0.3324,1176599.15,1769612.245,15.286000000000001,15.011,1,0,96122.81107600001
000001.SZ,20200227,14.96,15.15,14.89,15.11,14.99,0.12,0.8005,975270.9,1464605.739,15.189999999999998,14.962,1,0,96892.251076
000001.SZ,20200228,14.85,15.04,14.46,14.5,15.11,-0.61,-4.0371,1300644.45,1906892.413,14.974,14.91,1,0,92980.93107600001
000001.SZ,20200302,14.55,14.95,14.46,14.79,14.5,0.29,2.0,1116580.66,1647432.269,14.886000000000001,14.95,-1,-1,94717.127552
000001.SZ,20200303,14.96,14.99,14.63,14.72,14.79,-0.07,-0.4733,1153584.32,1705816.271,14.822,14.956,-1,0,94717.127552
000001.SZ,20200304,14.68,14.78,14.51,14.69,14.72,-0.03,-0.2038,862595.23,1261123.063,14.762,14.959,-1,0,94717.127552
000001.SZ,20200305,14.8,15.64,14.73,15.39,14.69,0.7,4.7651,2686602.34,4089493.523,14.818000000000001,14.99,-1,0,94717.127552
000001.SZ,20200306,15.18,15.27,15.02,15.03,15.39,-0.36,-2.3392,1228531.03,1858691.259,14.924000000000001,15.010500000000002,-1,0,94717.127552
000001.SZ,20200309,14.71,14.73,14.42,14.45,15.03,-0.58,-3.8589,1665793.54,2420392.13,14.856,15.008000000000001,-1,0,94717.127552
000001.SZ,20200310,14.38,14.85,14.38,14.76,14.45,0.31,2.1453,1167864.97,1709084.565,14.863999999999999,15.006499999999999,-1,0,94717.127552
000001.SZ,20200311,14.77,14.88,14.62,14.69,14.76,-0.07,-0.4743,814381.64,1201250.682,14.864,15.002500000000001,-1,0,94717.127552
000001.SZ,20200312,14.65,14.84,14.53,14.68,14.69,-0.01,-0.0681,986497.11,1447436.641,14.722,15.004,-1,0,94717.127552
000001.SZ,20200313,13.9,14.58,13.9,14.52,14.68,-0.16,-1.0899,1169765.8,1669009.835,14.62,14.9785,-1,0,94717.127552
000001.SZ,20200316,14.45,14.46,13.75,13.75,14.52,-0.77,-5.303,1406202.18,1975824.191,14.479999999999999,14.897499999999999,-1,0,94717.127552
000001.SZ,20200317,13.75,13.97,13.13,13.41,13.75,-0.34,-2.4727,1177849.06,1582506.075,14.209999999999999,14.808000000000002,-1,0,94717.127552
000001.SZ,20200318,13.41,13.55,12.65,12.71,13.41,-0.7,-5.22,1384784.37,1816836.893,13.814000000000002,14.6815,-1,0,94717.127552
000001.SZ,20200319,12.68,12.74,11.91,12.23,12.71,-0.48,-3.7766,1891457.13,2313863.663,13.324000000000002,14.513499999999999,-1,0,94717.127552
000001.SZ,20200320,12.4,12.68,12.26,12.52,12.23,0.29,2.3712,1578352.96,1967487.818,12.924000000000001,14.360499999999998,-1,0,94717.127552
000001.SZ,20200323,12.0,12.35,11.93,12.15,12.52,-0.37,-2.9553,1071113.64,1300469.494,12.604,14.2065,-1,0,94717.127552
000001.SZ,20200324,12.4,12.68,12.27,12.61,12.15,0.46,3.786,1180200.26,1472909.399,12.443999999999999,14.084999999999999,-1,0,94717.127552
000001.SZ,20200325,12.88,13.07,12.7,12.87,12.61,0.26,2.0619,1136957.74,1467534.956,12.476,13.979,-1,0,94717.127552
000001.SZ,20200326,12.78,13.34,12.72,13.06,12.87,0.19,1.4763,1075192.43,1408651.057,12.642,13.876499999999998,-1,0,94717.127552
000001.SZ,20200327,13.25,13.38,13.08,13.15,13.06,0.09,0.6891,653018.88,861618.663,12.768,13.809000000000001,-1,0,94717.127552
000001.SZ,20200330,12.85,13.04,12.76,12.94,13.15,-0.21,-1.597,661738.79,852956.24,12.925999999999998,13.716500000000002,-1,0,94717.127552
000001.SZ,20200331,13.05,13.09,12.78,12.8,12.94,-0.14,-1.0819,513370.3,662915.471,12.963999999999999,13.620499999999998,-1,0,94717.127552
000001.SZ,20200401,12.86,13.13,12.82,12.89,12.8,0.09,0.7031,520836.04,676070.117,12.968,13.5305,-1,0,94717.127552
000001.SZ,20200402,12.75,12.97,12.66,12.97,12.89,0.08,0.6206,518365.04,663197.628,12.95,13.4095,-1,0,94717.127552
000001.SZ,20200403,12.82,12.89,12.55,12.61,12.97,-0.36,-2.7756,825348.14,1047282.4,12.841999999999999,13.288499999999999,-1,0,94717.127552
000001.SZ,20200407,12.89,12.94,12.81,12.88,12.61,0.27,2.1412,870313.71,1121200.115,12.830000000000002,13.209999999999999,-1,0,94717.127552
000001.SZ,20200408,12.88,12.92,12.72,12.78,12.88,-0.1,-0.7764,528716.14,676604.872,12.826000000000002,13.111,-1,0,94717.127552
000001.SZ,20200409,12.88,12.89,12.72,12.74,12.78,-0.04,-0.313,408553.77,522027.888,12.796000000000001,13.013499999999999,-1,0,94717.127552
000001.SZ,20200410,12.76,12.98,12.65,12.79,12.74,0.05,0.3925,666674.95,853689.95,12.76,12.919,-1,0,94717.127552
000001.SZ,20200413,12.67,12.71,12.47,12.59,12.79,-0.2,-1.5637,446214.4,562008.05,12.756,12.8225,-1,0,94717.127552
000001.SZ,20200414,12.65,12.86,12.57,12.86,12.59,0.27,2.1446,686086.87,874856.562,12.752,12.778,-1,0,94717.127552
000001.SZ,20200415,12.86,12.93,12.78,12.87,12.86,0.01,0.0778,656396.4,843649.273,12.77,12.751,1,1,94688.722175
000001.SZ,20200416,12.79,12.79,12.54,12.68,12.87,-0.19,-1.4763,789154.98,997623.816,12.758,12.749500000000001,1,0,93290.892175
000001.SZ,20200417,12.77,13.04,12.65,12.89,12.68,0.21,1.6562,1331164.77,1713215.766,12.778,12.782499999999999,-1,-1,94712.58092600002
000001.SZ,20200420,12.86,13.05,12.77,12.99,12.89,0.1,0.7758,818455.83,1058524.019,12.857999999999999,12.806000000000001,1,1,94684.17569300003
000001.SZ,20200421,13.3,13.7,13.3,13.45,12.99,0.46,3.5412,2122448.34,2861879.086,12.975999999999999,12.871,1,0,98037.11569300001
000001.SZ,20200422,13.37,13.42,13.16,13.23,13.45,-0.22,-1.6357,1032802.74,1368222.854,13.047999999999998,12.901999999999997,1,0,96433.53569300003
000001.SZ,20200423,13.23,13.31,13.11,13.23,13.23,0.0,0.0,646989.63,855052.11,13.157999999999998,12.920000000000002,1,0,96433.53569300003
000001.SZ,20200424,13.17,13.28,13.11,13.24,13.23,0.01,0.0756,566001.61,747473.77,13.228,12.928999999999998,1,0,96506.42569300003
000001.SZ,20200427,13.3,13.64,13.25,13.5,13.24,0.26,1.9637,936829.9,1263809.737,13.330000000000002,12.9465,1,0,98401.56569300003
000001.SZ,20200428,13.45,13.56,13.27,13.52,13.5,0.02,0.1481,771564.17,1038718.08,13.344,12.9755,1,0,98547.34569300002
000001.SZ,20200429,13.48,14.1,13.45,14.02,13.52,0.5,3.6982,1108722.39,1541638.203,13.501999999999999,13.0365,1,0,102191.84569300002
000001.SZ,20200430,14.02,14.32,13.88,13.93,14.02,-0.09,-0.6419,819540.43,1155968.238,13.642,13.0885,1,0,101535.83569300003
000001.SZ,20200506,13.76,13.89,13.61,13.77,13.93,-0.16,-1.1486,1008998.02,1382727.481,13.748,13.128499999999999,1,0,100369.59569300002
000001.SZ,20200507,13.76,13.76,13.6,13.69,13.77,-0.08,-0.581,662749.23,904349.531,13.785999999999998,13.1825,1,0,99786.47569300003
000001.SZ,20200508,13.76,14.02,13.68,13.95,13.69,0.26,1.8992,934781.7,1297924.588,13.872,13.236,1,0,101681.61569300001
000001.SZ,20200511,13.92,14.13,13.9,14.0,13.95,0.05,0.3584,612862.29,859156.594,13.868,13.297,1,0,102046.06569300003
000001.SZ,20200512,13.95,14.05,13.72,13.79,14.0,-0.21,-1.5,558511.14,772109.502,13.839999999999998,13.3495,1,0,100515.37569300002
000001.SZ,20200513,13.75,13.78,13.53,13.63,13.79,-0.16,-1.1603,640358.79,871062.043,13.812000000000001,13.391499999999999,1,0,99349.13569300003
